X,Y,CountryCode
816,496,356
736,504,356
744,504,356
752,504,356
760,504,356
768,504,356
776,504,356
784,504,356
792,504,356
800,504,356
808,504,356
736,512,356
744,512,356
752,512,356
760,512,356
768,512,356
776,512,356
784,512,356
792,512,356
800,512,356
808,512,356
736,520,356
744,520,356
752,520,356
760,520,356
768,520,356
776,520,356
784,520,356
792,520,356
800,520,356
808,520,356
744,528,356
752,528,356
760,528,356
768,528,356
776,528,356
784,528,356
792,528,356
800,528,356
808,528,356
744,536,356
752,536,356
760,536,356
768,536,356
776,536,356
784,536,356
792,536,356
800,536,356
744,544,356
752,544,356
760,544,356
768,544,356
776,544,356
784,544,356
792,544,356
800,544,356
744,552,356
752,552,356
760,552,356
768,552,356
776,552,356
784,552,356
792,552,356
800,552,356
744,560,356
752,560,356
760,560,356
768,560,356
776,560,356
784,560,356
792,560,356
800,560,356
744,568,356
752,568,356
760,568,356
768,568,356
776,568,356
784,568,356
792,568,356
752,576,356
760,576,356
768,576,356
776,576,356
784,576,356
792,576,356
752,584,356
760,584,356
768,584,356
776,584,356
784,584,356
792,584,356
752,592,356
760,592,356
768,592,356
776,592,356
784,592,356
752,600,356
760,600,356
768,600,356
776,600,356
760,608,356
768,608,356
776,608,356
768,616,356
784,608,144
792,608,144
784,616,144
792,616,144
784,624,144
792,624,144
776,632,144
784,632,144
792,632,144
784,640,144
792,640,144
808,288,524
808,296,524
816,296,524
816,304,524
824,304,524
832,304,524
824,312,524
832,312,524
840,312,524
848,312,524
840,320,524
848,320,524
856,320,524
856,328,524
1064,120,156
1072,120,156
1080,120,156
1056,128,156
1064,128,156
1072,128,156
1080,128,156
1056,136,156
1064,136,156
1072,136,156
1080,136,156
1088,136,156
1048,144,156
1056,144,156
1064,144,156
1072,144,156
1080,144,156
1088,144,156
1040,152,156
1048,152,156
1056,152,156
1064,152,156
1072,152,156
1080,152,156
1088,152,156
1096,152,156
1104,152,156
1056,160,156
1064,160,156
1072,160,156
1080,160,156
1088,160,156
1096,160,156
1104,160,156
1112,160,156
1120,160,156
1048,168,156
1056,168,156
1064,168,156
1072,168,156
1080,168,156
1088,168,156
1096,168,156
1104,168,156
1112,168,156
1120,168,156
1040,176,156
1048,176,156
1056,176,156
1064,176,156
1072,176,156
1080,176,156
1088,176,156
1096,176,156
1104,176,156
1112,176,156
1120,176,156
1040,184,156
1048,184,156
1056,184,156
